tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,monh
996,3/1/2020 11:21,3/1/2020 11:37,3280,Astor Place,40.7192822,-74.07126188,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42590,Subscriber,1984,1,3
148,3/1/2020 11:22,3/1/2020 11:25,3279,Dixon Mills,40.72163014,-74.04996783,3269,Brunswick & 6th,40.72601173,-74.05038893,42546,Subscriber,1987,1,3
480,3/1/2020 11:23,3/1/2020 11:31,3207,Oakland Ave,40.7376037,-74.0524783,3211,Newark Ave,40.72152515,-74.04630454,42205,Subscriber,1979,2,3
169,3/1/2020 11:24,3/1/2020 11:27,3203,Hamilton Park,40.72759597,-74.04424731,3272,Jersey & 3rd,40.72333159,-74.04595256,42381,Subscriber,1965,2,3
594,3/1/2020 11:25,3/1/2020 11:35,3209,Brunswick St,40.7241765,-74.0506564,3275,Columbus Drive,40.7183552,-74.03891444,42499,Subscriber,1974,1,3
110,3/1/2020 11:31,3/1/2020 11:33,3638,Washington St,40.7242941,-74.0354826,3202,Newport PATH,40.7272235,-74.0337589,42596,Subscriber,1991,1,3
826,3/1/2020 11:31,3/1/2020 11:45,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3677,Glenwood Ave,40.72755147,-74.07106072,42429,Subscriber,1954,1,3
248,3/1/2020 11:32,3/1/2020 11:37,3206,Hilltop,40.7311689,-74.0575736,3640,Journal Square,40.73367,-74.0625,42601,Subscriber,1970,1,3
207,3/1/2020 11:34,3/1/2020 11:38,3272,Jersey & 3rd,40.72333159,-74.04595256,3203,Hamilton Park,40.72759597,-74.04424731,42381,Subscriber,1965,2,3
477,3/1/2020 11:38,3/1/2020 11:46,3694,Jackson Square,40.71113,-74.0789,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42440,Subscriber,1997,2,3
297,3/1/2020 11:41,3/1/2020 11:46,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,42546,Subscriber,1977,2,3
564,3/1/2020 11:43,3/1/2020 11:52,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.7308971,-74.06391263,42542,Subscriber,1992,1,3
196,3/1/2020 11:44,3/1/2020 11:47,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,42505,Subscriber,1994,1,3
258,3/1/2020 11:44,3/1/2020 11:48,3211,Newark Ave,40.72152515,-74.04630454,3483,Montgomery St,40.71942,-74.05099,42205,Subscriber,1986,1,3
241,3/1/2020 11:45,3/1/2020 11:49,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,42368,Subscriber,1964,2,3
262,3/1/2020 11:49,3/1/2020 11:53,3187,Warren St,40.7211236,-74.03805095,3211,Newark Ave,40.72152515,-74.04630454,42362,Subscriber,1989,1,3
328,3/1/2020 11:50,3/1/2020 11:55,3202,Newport PATH,40.7272235,-74.0337589,3275,Columbus Drive,40.7183552,-74.03891444,42277,Subscriber,1988,2,3
884,3/1/2020 11:51,3/1/2020 12:05,3269,Brunswick & 6th,40.72601173,-74.05038893,3199,Newport Pkwy,40.7287448,-74.0321082,42232,Subscriber,1959,1,3
133,3/1/2020 11:53,3/1/2020 11:55,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,42273,Subscriber,1987,1,3
220,3/1/2020 11:55,3/1/2020 11:59,3278,Monmouth and 6th,40.72568548,-74.04879034,3211,Newark Ave,40.72152515,-74.04630454,42324,Subscriber,1975,2,3
894,3/1/2020 11:57,3/1/2020 12:11,3639,Harborside,40.7192517,-74.034234,3483,Montgomery St,40.71942,-74.05099,42473,Subscriber,1991,1,3
284,3/1/2020 11:57,3/1/2020 12:01,3213,Van Vorst Park,40.71848892,-74.04772663,3278,Monmouth and 6th,40.72568548,-74.04879034,42529,Subscriber,1964,1,3
219,3/1/2020 12:01,3/1/2020 12:04,3269,Brunswick & 6th,40.72601173,-74.05038893,3272,Jersey & 3rd,40.72333159,-74.04595256,42599,Subscriber,1987,1,3
425,3/1/2020 12:04,3/1/2020 12:11,3638,Washington St,40.7242941,-74.0354826,3276,Marin Light Rail,40.71458404,-74.04281706,42173,Subscriber,1986,2,3
896,3/1/2020 12:06,3/1/2020 12:21,3269,Brunswick & 6th,40.72601173,-74.05038893,3196,Riverview Park,40.7443187,-74.0439909,42502,Subscriber,1968,1,3
201,3/1/2020 12:06,3/1/2020 12:10,3203,Hamilton Park,40.72759597,-74.04424731,3211,Newark Ave,40.72152515,-74.04630454,42244,Subscriber,1953,2,3
508,3/1/2020 12:06,3/1/2020 12:15,3199,Newport Pkwy,40.7287448,-74.0321082,3275,Columbus Drive,40.7183552,-74.03891444,42216,Subscriber,1992,2,3
558,3/1/2020 12:07,3/1/2020 12:17,3199,Newport Pkwy,40.7287448,-74.0321082,3275,Columbus Drive,40.7183552,-74.03891444,42609,Subscriber,1985,1,3
374,3/1/2020 12:08,3/1/2020 12:14,3268,Lafayette Park,40.71346383,-74.06285852,3483,Montgomery St,40.71942,-74.05099,42128,Subscriber,1999,1,3
343,3/1/2020 12:16,3/1/2020 12:21,3185,City Hall,40.7177325,-74.043845,3279,Dixon Mills,40.72163014,-74.04996783,42563,Subscriber,1984,2,3
141,3/1/2020 12:16,3/1/2020 12:19,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,42283,Subscriber,1986,1,3
1270,3/1/2020 12:17,3/1/2020 12:38,3209,Brunswick St,40.7241765,-74.0506564,3209,Brunswick St,40.7241765,-74.0506564,42581,Subscriber,1981,1,3
137,3/1/2020 12:21,3/1/2020 12:24,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,42368,Subscriber,1975,1,3
511,3/1/2020 12:22,3/1/2020 12:31,3273,Manila & 1st,40.72165072,-74.04288411,3199,Newport Pkwy,40.7287448,-74.0321082,42115,Customer,1995,2,3
432,3/1/2020 12:23,3/1/2020 12:30,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,42477,Subscriber,1985,1,3
201,3/1/2020 12:23,3/1/2020 12:27,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,42413,Subscriber,1982,1,3
198,3/1/2020 12:23,3/1/2020 12:27,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,42470,Subscriber,1979,1,3
864,3/1/2020 12:24,3/1/2020 12:38,3276,Marin Light Rail,40.71458404,-74.04281706,3187,Warren St,40.7211236,-74.03805095,42173,Subscriber,1986,2,3
250,3/1/2020 12:24,3/1/2020 12:28,3272,Jersey & 3rd,40.72333159,-74.04595256,3269,Brunswick & 6th,40.72601173,-74.05038893,42298,Subscriber,1987,1,3
488,3/1/2020 12:24,3/1/2020 12:32,3201,Dey St,40.737711,-74.066921,3640,Journal Square,40.73367,-74.0625,42118,Subscriber,1998,1,3
294,3/1/2020 12:24,3/1/2020 12:29,3273,Manila & 1st,40.72165072,-74.04288411,3269,Brunswick & 6th,40.72601173,-74.05038893,42520,Subscriber,1989,2,3
309,3/1/2020 12:25,3/1/2020 12:30,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,42462,Subscriber,1985,1,3
184,3/1/2020 12:25,3/1/2020 12:28,3213,Van Vorst Park,40.71848892,-74.04772663,3272,Jersey & 3rd,40.72333159,-74.04595256,42621,Subscriber,1972,1,3
163,3/1/2020 12:28,3/1/2020 12:30,3278,Monmouth and 6th,40.72568548,-74.04879034,3211,Newark Ave,40.72152515,-74.04630454,42299,Subscriber,1989,1,3
349,3/1/2020 12:30,3/1/2020 12:35,3272,Jersey & 3rd,40.72333159,-74.04595256,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42621,Subscriber,1993,1,3
1696,3/1/2020 12:31,3/1/2020 12:59,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42209,Subscriber,1963,1,3
